City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Atuona,PF,77.09,overcast clouds,-9.8,-139.0333,Villa Enata
9,Dabhol,IN,78.78,overcast clouds,17.6,73.1667,Ashwamedh Resort
14,Hilo,US,82.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
15,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Kavieng,PG,83.14,light rain,-2.5744,150.7967,Nusa Island Retreat
18,Hami,CN,77.4,overcast clouds,42.8,93.45,Laoyutang Resort
25,Kapaa,US,87.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Kaohsiung,TW,78.75,thunderstorm with heavy rain,22.6163,120.3133,御宿商旅-中山館
42,Sao Miguel Do Araguaia,BR,77.38,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
43,Miyako,JP,79.65,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
45,Hithadhoo,MV,81.12,overcast clouds,-0.6,73.0833,Scoop Guest House
46,Butaritari,KI,82.06,few clouds,3.0707,172.7902,Isles Sunset Lodge
47,Klyuchi,RU,76.95,scattered clouds,52.2667,79.1667,Vesolaya Mayovka
54,Kavaratti,IN,81.84,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
55,Tual,ID,81.36,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
56,Port Moresby,PG,80.96,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
58,Chase,CA,87.4,overcast clouds,50.8165,-119.6857,Chase Country Inn Motel
66,Ayorou,NE,84.79,scattered clouds,14.7308,0.9174,Hotel Amenokal
69,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
70,Luwuk,ID,84.69,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
74,Port Keats,AU,84.42,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
81,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
86,Pivijay,CO,82.49,clear sky,10.4617,-74.6162,Hospedaje La Posada
89,Yellowknife,CA,81.28,few clouds,62.456,-114.3525,The Explorer Hotel
90,Lompoc,US,77.56,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
91,Bajil,YE,85.12,few clouds,15.0584,43.2851,فندق حضرموت
95,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
96,Sabaudia,IT,80.91,light rain,41.3003,13.0282,Oasi di Kufra
97,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
98,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
100,Ishigaki,JP,87.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
101,Muli,MV,82.44,broken clouds,2.9167,73.5667,Medhufushi Island Resort
102,Kysyl-Syr,RU,81.57,clear sky,63.8986,122.7617,
103,Anaconda,US,83.1,overcast clouds,46.1285,-112.9423,Trade Wind Motel
105,Teknaf,BD,79.93,light rain,20.8624,92.3058,Forestry Guesthouse
106,Mayo,US,76.12,clear sky,38.8876,-76.5119,Resorts Resource Group International
107,Saskylakh,RU,80.53,clear sky,71.9167,114.0833,
108,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
109,Jacareacanga,BR,76.64,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
112,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
118,Labuhan,ID,82.9,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
119,Wattegama,LK,79.12,broken clouds,6.7989,81.4808,
121,San Patricio,US,86.09,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
125,Zhigansk,RU,76.39,few clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
126,Bontang,ID,81.27,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
131,Brenham,US,87.58,clear sky,30.1669,-96.3977,Hampton Inn & Suites Brenham
140,Thinadhoo,MV,81.64,few clouds,0.5333,72.9333,
144,Srandakan,ID,80.01,overcast clouds,-7.9386,110.2506,Puri Brata
146,Cabo San Lucas,MX,87.8,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
150,Ugoofaaru,MV,82.45,scattered clouds,5.6667,73.0,Ungoofaaru Inn
156,Aquiraz,BR,80.69,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
159,Pontianak,ID,84.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
160,Marzuq,YE,76.5,broken clouds,14.4,46.4667,
167,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
173,Trairi,BR,78.03,overcast clouds,-3.2778,-39.2689,janelas do mar
176,Cayenne,GF,83.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
