City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,63.72,87,1,1.01,clear sky
1,Peniche,PT,39.3558,-9.3811,63.63,89,31,11.25,scattered clouds
2,Cape Town,ZA,-33.9258,18.4232,54.88,90,75,1.01,mist
3,Hobart,AU,-42.8794,147.3294,53.46,64,75,1.99,light rain
4,Fuengirola,ES,36.54,-4.6247,77.0,38,0,10.36,clear sky
5,Lavrentiya,RU,65.5833,-171.0,41.67,89,100,4.97,overcast clouds
6,Castelfranco Emilia,IT,44.5958,11.052,76.21,79,0,2.3,clear sky
7,Biak,ID,-0.9131,122.8766,82.17,73,29,6.82,scattered clouds
8,Saint George,US,37.1041,-113.5841,84.25,45,1,1.99,clear sky
9,Chirongui,YT,-12.9319,45.1483,76.93,68,6,19.75,clear sky
10,Hilo,US,19.7297,-155.09,82.13,72,75,11.5,broken clouds
11,Victoria,HK,22.2855,114.1577,91.04,82,100,5.01,overcast clouds
12,Clyde River,CA,70.4692,-68.5914,39.43,93,90,3.44,overcast clouds
13,Kotelnich,RU,58.3089,48.348,62.17,74,10,7.7,clear sky
14,Catamarca,AR,-28.4696,-65.7852,51.78,56,0,5.44,clear sky
15,Rikitea,PF,-23.1203,-134.9692,70.43,73,10,15.73,light rain
16,Port Alfred,ZA,-33.5906,26.891,63.88,31,55,8.16,broken clouds
17,Vardo,NO,70.3705,31.1107,48.34,92,100,11.16,overcast clouds
18,Cayenne,GF,4.9333,-52.3333,83.08,80,0,1.99,clear sky
19,Butaritari,KI,3.0707,172.7902,82.15,73,13,8.99,few clouds
20,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,19.57,clear sky
21,Thompson,CA,55.7435,-97.8558,63.27,63,51,5.17,broken clouds
22,Bethel,US,41.3712,-73.414,65.05,84,1,3.44,clear sky
23,Hermanus,ZA,-34.4187,19.2345,55.8,90,57,8.9,broken clouds
24,Hasaki,JP,35.7333,140.8333,97.29,76,14,9.51,few clouds
25,Qaanaaq,GL,77.484,-69.3632,40.08,92,97,1.72,overcast clouds
26,Mahebourg,MU,-20.4081,57.7,71.26,74,31,19.53,light rain
27,Nabire,ID,-3.3667,135.4833,85.86,67,77,3.71,broken clouds
28,Santa Barbara,US,34.7333,-120.0343,72.34,66,1,5.75,clear sky
29,Naze,JP,28.3667,129.4833,80.04,86,92,13.6,overcast clouds
